Day,Day-climate,Night-climate,Feel-like-climate,Pressure,Humidity,Wind-speed
25,0,−2,−5,639 мм рт. ст.,60%,5.3 м/с Ю
26,−3,−4,−8,642 мм рт. ст.,67%,4.8 м/с Ю
27,−1,−4,−6,642 мм рт. ст.,62%,4.9 м/с Ю
28,−1,−2,−6,642 мм рт. ст.,56%,4.9 м/с Ю
29,−1,−4,−6,642 мм рт. ст.,57%,4.4 м/с Ю
30,0,−4,−6,698 мм рт. ст.,77%,3.2 м/с СВ
31,+1,−4,−7,697 мм рт. ст.,69%,2.9 м/с СВ
1 января,+2,−3,−7,696 мм рт. ст.,71%,2.5 м/с СВ
2,+5,−3,−3,696 мм рт. ст.,61%,2.8 м/с ЮВ
3,0,−5,−6,698 мм рт. ст.,80%,1.5 м/с СВ
4,+1,−2,−6,695 мм рт. ст.,74%,1.7 м/с СВ
5,+6,+1,−2,696 мм рт. ст.,72%,2.2 м/с В
6,+5,+2,−1,694 мм рт. ст.,67%,1.7 м/с СВ
7,+5,+1,−1,693 мм рт. ст.,67%,2.5 м/с СВ
8,+2,−2,−3,697 мм рт. ст.,74%,2.3 м/с С
9,+2,−2,−5,697 мм рт. ст.,71%,3 м/с С
10,+3,0,−4,691 мм рт. ст.,67%,3.2 м/с З
11,+3,−2,−4,692 мм рт. ст.,66%,3.2 м/с СВ
12,0,−2,−8,605 мм рт. ст.,68%,4.3 м/с ЮЗ
13,−5,−10,−13,609 мм рт. ст.,93%,6.7 м/с З
14,−1,−3,−15,608 мм рт. ст.,76%,10.6 м/с Ю
15,+1,−2,−7,609 мм рт. ст.,80%,5.5 м/с Ю
16,+3,−2,−8,605 мм рт. ст.,76%,7.7 м/с СЗ
17,−2,−5,−8,608 мм рт. ст.,89%,3.9 м/с С
18,−3,−5,−9,607 мм рт. ст.,83%,2.6 м/с ЮЗ
19,−5,−7,−11,604 мм рт. ст.,82%,3.2 м/с СЗ
20,−5,−7,−11,603 мм рт. ст.,76%,3.4 м/с СЗ
21,−4,−7,−12,603 мм рт. ст.,68%,4.2 м/с ЮЗ
22,−4,−7,−13,602 мм рт. ст.,67%,4.9 м/с ЮЗ
23,−8,−10,−14,606 мм рт. ст.,87%,4.5 м/с С
24,−8,−11,−14,606 мм рт. ст.,82%,2.7 м/с ЮЗ
25,−7,−11,−15,606 мм рт. ст.,83%,3.8 м/с СЗ
26,−6,−11,−14,608 мм рт. ст.,79%,2.5 м/с СЗ
27,−6,−11,−14,609 мм рт. ст.,76%,4.4 м/с СЗ
28,−6,−11,−14,610 мм рт. ст.,76%,4 м/с Ю
